,Username,Content,Location,Created at
0,jjaranaz94,"""casi 300"":    #pasaporte #mascarilla #covid19 #covid_19 #covidー19 #coronavirus #covid #vacuna #vaccine #pfizer #janssen #moderna @traselvalle_obc #omicron #contagio #positivo #vaccination #secret4f #felizviernesatodos #felizfinde #diamundialcontraelcancer",Lee aquí 👇🏼 el último TEVDA,2022-02-04 07:57:15
1,SatPolresta,"“yang perlu kita lakukan dalam menyikapi kasus konfirmasi omicron di indonesia, yang pertama adalah harus terus waspada dan hati-hati karena memang penularannya sedang tinggi.  ir. budi gunadi sadikin, chfc, clu. menteri kesehatan dalam rapat terbatas (ratas)",Jl johan idrus,2022-02-04 07:57:05
2,Ravenclawgvrl,@birylu harusnya sih gitu tapi omicron lagi naik jadi dari pihak desa ga nyediain tempat tinggal. kalo mau ngontrak sendiri,Centaurus A Galaxy,2022-02-04 07:56:46
3,reocizner,"satu divisi kena omicron, gw doang alhamdulillah yang negatif dari 7 orang. tapi kerjaan gw nambah karena ngeback up mereka 😭",On site,2022-02-04 07:56:40
4,notyourpil,soukor sekarang pun 27k+ cases semalam bcs of omicron so tak mustahil malaysia boleh naik balik🥲,항상 여기 이 자리에 ✨ ,2022-02-04 07:56:39
5,haziq__muazam,mungkin omicron tak jangkit pada pakaian berwarna biru,,2022-02-04 07:56:28
6,IsuBogor,"omicron tidak berbahaya, ini penjelasan lengkap eks menkes siti fadilah supari   #bumame  #omicron","Bogor, Jawa Barat",2022-02-04 07:56:16
7,antaramakassar,dinkes sulbar galakkan testing untuk cegah masuknya varian omicron,"Makassar, Sulawesi Selatan",2022-02-04 07:55:46
8,MoTeeTee,@musniumar tau drmana omicron mus???,"Jakarta Pusat, DKI Jakarta",2022-02-04 07:55:34
9,indozonemedia,street race di tiga lokasi baru diketahui diundur karena pandemi maraknya wabah virus corona varian omicron.,Indonesia,2022-02-04 07:55:34
10,Aan_Hantorov,"insyaa allah, lonjakan kasus omicron sdh ada antisipasi oleh pemerintah dhn baik. monhgo disimak selengkapnya pernyataan dari presiden @jokowi",Semarang,2022-02-04 07:55:26
11,ny_nyayuniar,"pak/ bu yg berwenang atau yg punya kendali,, klo sekolah di tutup lagi krn omicron, tolong mall dan tempat umum yg menimbulkan kerumunan juga di tutup, kalo tidak jika anak saya sekolah daring lagi bisa donk sambil nongki di coffe shop 🙏🙏🙏",indonesia jakarta,2022-02-04 07:55:25
12,randiirmayanto,"jadwal bola cancel gara-gara omicron, mau jogging tiap sore ujan.","Depok, Jawa Barat",2022-02-04 07:55:00
13,heyyyy_fxrxxxx,tak terkejut pun kes 7k hari ni sbb kkm dah cakap ennnn kita tgh hdap omicron wave. dan keadaan masih terkawal. kkm dah ready. so chill..bawa bertenang. jaga sop!,,2022-02-04 07:54:52
14,cnbcindonesia,"maaf bukan menakuti, omicron tahan lama di plastik &amp; kulit",Jakarta Capital Region,2022-02-04 07:54:48
15,Art_Mizu_X,"@proxima_au kyknya, gejalany kek omicron","hokkaido, japan",2022-02-04 07:54:40
