Column1,stop_remove,label
0, casi 300 pasaporte mascarilla covid19 covid 19 covid 19 coronavirus covid vacuna vaccine pfizer janssen moderna traselvalle obc omicron contagio positivo vaccination secret4f felizviernesatodos felizfinde diamundialcontraelcancer,netral
1, lakukan menyikapi konfirmasi omicron indonesia waspada hati hati penularannya ir budi gunadi sadikin chfc clu menteri kesehatan rapat terbatas ratas ,netral
2, birylu sih gitu omicron desa ga nyediain tinggal kalo ngontrak,negative
3,divisi kena omicron gw doang alhamdulillah negatif 7 orang kerjaan gw nambah ngeback up ,negative
4,soukor 27k cases semalam bcs of omicron so mustahil malaysia ,negative
5,omicron jangkit pakaian berwarna biru,positive
6,omicron berbahaya penjelasan lengkap eks menkes siti fadilah supari bumame omicron,positive
7,dinkes sulbar galakkan testing cegah masuknya varian omicron,positive
8, musniumar tau drmana omicron mus ,negative
9,street race lokasi diundur pandemi maraknya wabah virus corona varian omicron ,negative
10,insyaa allah lonjakan omicron sdh antisipasi pemerintah dhn monhgo disimak selengkapnya pernyataan presiden jokowi,positive
11,bu yg berwenang yg kendali klo sekolah tutup krn omicron tolong mall yg menimbulkan kerumunan tutup kalo anak sekolah daring donk nongki coffe shop ,negative
12,jadwal bola cancel gara gara omicron jogging sore ujan ,negative
13,terkejut kes 7k ni sbb kkm dah cakap ennnn tgh hdap omicron wave terkawal kkm dah ready so chill bawa bertenang jaga sop ,netral
14,maaf menakuti omicron tahan plastik amp kulit,negative
15, proxima au kyknya gejalany kek omicron,netral
16,dubes ri korea selatan membenarkan pemerintah korea selatan mengeluarkan aturan terkait melonjaknya omicron negeri kimchi warga korea selatan larang berbicara transportasi wajib wfh,positive
17,test antigen mendignose omicron ngehoax ya mus ,negative
18,kirain wfh pabrik mitos 1 orang kena kepret omicron bubar kabeh coek sak kantor e,negative
19, pangyima omicron bu ,netral
20,membatalkan agenda jakarta karna wedi omicron tp galau pengen purbalingga pol mentok ngopi bjong ,negative
21,yak udh kena omicron skrng nambah ga nyium bau sm ngerasain makanan ,negative
22,pernyataan terbaru presiden jokowi terkait covid 19 jokowi lonjakan amp diantisipasi pemerintah dgn kesiapan2 yg dibandingkan tahun2 omicron menular fatality rate nya rendah delta,positive
23,omicron meningkat fatwa mui bolehkan sholat jum at diganti sholat dzuhur baca selengkapnya ,positive
24,cegah omicron anggota tugas dilapangan perketat prokes,positive
25, potatonyu alias yg sakit jg gak ngeh kalo tuh sebenernya kena omicron krn ngerasanya jg kaya flu aja,negative
26,duta ri korea selatan membenarkan omicron mendominasi negara pemerintah korea selatan bekukan kegiatan wajib militer warganya pandemi covid 19 selesai,netral
27,ayo jaga kesehatan virus omicron ,positive
28,omicron gasiee,netral
29,covid 19 indonesia mengalami kenaikan sepekan peningkatan didorong merebaknya penularan varian omicron merahputihcom omicron covid19,negative
30, qaillaasyiqah omicron minder liat beliau ,netral
31,sederet kabar who luhut omicron simak ,netral
32,omicron korea selatan bertambah pemerintah korea selatan larang keras warganya berbicara bus kereta api cepat pekerja kantoran asn korea selatan wajib rumah 100 rumah sakit korea selatan full ,negative
33, personil polsek tambun cegah penyebaran omicron pasar tambun humas polsek tambun ,positive
34, mia kyushu varian omicron kawin varian delta berbahaya bisa2 omicron kawin omygod muncul varian bernama onasib ,negative
35,fakta hoaks paracetamol 500 gram vitamin c vitamin d obatnya omicron ,negative
36, sebelum2024jokowilengser bumame mamah dedeh bintang emon kediri jakarta timur unpad siang bu siti fadilah alhamdulillah omicron masuk indonesia c19 melemah sdh mnjd flu bill gates kecemasan luhut amp ancaman aneh nya sikapi dg senyum,positive
37, dr koko28 yg gimana dok omicron sdang loh ntr rakyat yg disalahi ,negative
38, asyooong23 delayed reaction don t tell me tinamaan kang omicron sa boracay,netral
39, geloraco goubloug akut omicron melanda mayoritas dunia indonesia wawasannya srmpit ,negative
40,pakar kelompok rentan terinfeksi covid 19 omicron,negative
41, tetepfrontal ok sip makasih penjelasannya krn data eropa sih yg meninggal krn varian omicron 0 06 dr 155 150 2021 2022 austria siprus estonia finland ireland italy liechtenstein luxembourg malta norway poland portugal romania slovakia sweden ,netral
42,varian omicron menyebar cepat gejala ringan,negative
43, musniumar alhamdulillah wasyukurillah aamiin yra sembuh ya ttplah omicron,positive
44,iya efek omicron kak,netral
45, keuangannews id 2 omicron pesanan harun masiku g d kejar lumaya ngulur,netral
46, musniumar tau omicron darimana delta virus wuhan ,negative
47,pasien covid 19 varian omicron isoman rumah syaratnya,negative
48,korea selatan mengalami peningkatan omicron negaranya presiden korea selatan larang keras warganya berbicara arah tranportasi bus kereta api cepat jam operasional toko usaha non esensial persingkat,negative
49,covid cepet banget udah omicron nular berkali2 cepet,negative
50,dokter paru mengungkap alasan gejala covid 19 varian omicron semematikan delta penjelasan selengkapnya bunda ,netral
51,bugar semangat omicron menang link video ,positive
52,bru aja slsai kena gejala omicron lgi coba ,negative
53,gpp omicron pilih2 kerumanan jd kagak ush ,negative
54, musniumar semoga omicron cepet ketemu tantecron sembuh caiyo ,positive
55,webinar penanganan covid 19 omicron kemendes pdtt semoga kesehatan terhindar dr covid 19 jokowi halimiskandarnu malik haramain imansyukri taufikmadjid71 azzameldzikrie tppkemendes kemendesa kpw4jatim mift4hulmunir cak furi1,positive
56,udah kendor petugas gabungan jakpus gelar operasi prokes jakarta protokolkesehatan omicron omicronvariant corona coronavirus covid19 covid rakyatmerdeka rmid,negative
57,varian omicron menyebar cepat gejala ringan,negative
58,bugar semangat omicron menang link video ,positive
59,happy birthday cepiooo sehat hati hati ya unicorn merajalela eh maksudnya omicron bahagia deh ya a fionyjkt48 symfiony blos20mingfiony,positive
60,omicron ittu sa tha bas ,positive
61,varian delta terbitlah varian omicron bikin warga was was gejalanya ditemukan ringan penyebarannya berpotensi cepat dibandingkan delta yuk cek nih melawan omicron ,negative
62,angkatan pertahanan australia terlibat mengelola respons pandemi letnan jenderal bertanggung peluncuran vaksin pasukan pemantauan penguncian wilayah ,netral
63,kemenkes pasien omicron gejala isoman rumah,positive
64,bugar semangat omicron menang link video ,positive
65,varian omicron menyebar cepat gejala ringan,positive
66,antisipasi penyebaran omicron ketua rw 05 bsi lakukan penyemprotan disinfektan ,positive
67, pedeipe musim omicron ngab,positive
68,dah bobo gais headache kayak digebuk stick golf sirah omicron badjigur ,negative
69,omicron udah masuk ruangan gw byuhhh jauh2 deh sampe kena duh wfh nih stay safe everyone ngopi deh asa teu nyambung geura ,netral
70,cegah penyebaran varian omicron patuhi prokes panik waspada kediri kota beriman amanah inovatif kondusif divhumas polri humaspoldajatim polreskotakdr kedirikotabaik polripresisi polreskedirikota,positive
71,jokowi tingginya covid 19 tanah air akibat varian omicron,negative
72, paulus willy virus omicron bentar gue disalahin formula eek ,negative
73,paulus tannos harun masiku kpk tunggu omicron reda,positive
74,kepikiran omicron tp gue ga kemana anjir,positive
75,varian omicron menyebar cepat gejala ringan,positive
76,jokowi pasien terpapar omicron dirawat rs,negative
77,siti fadillah omicron pertanda bagus alasannya ,positive
78,hamil siti badriah positif omicron istri krisjiana baharudin beber gejala dirasakan via tribunmedan,negative
79,mbah mus kabarnya covid omicron ,netral
80,hidup omicron,positive
81,plis ngluyur kemana2 guis omicron lg gila2an also me yaaallah pengen pulkam ,positive
82, aisyahyp27 kalo orang desa wajar musim pancaroba sakit gejalanya kek flu otomatis test takut covid test meningkat grafik omicron ,negative
83, kulupfans khairykj la omicron tu sembur dah kena sembur dah ni kuasa bodoh,negative
84, plumbinq omicron delta pernikahan dilarang ,negative
85, jaallj mohon maaf omicron lg dinaikkan,negative
86,dyandra promosindo strategi rencana cadangan iims 2022 ,netral
87,maaf menakuti omicron tahan plastik kulit,negative
88,yg bilang omicron cuman flu sm demam boong bgt ,negative
89,maaf menakuti omicron tahan plastik amp kulit idcorner,negative
90, 501awani to those ni konspirasi jadah butoh hang mak hang belen this is foreseen cases surged due to omicron tpi jgn risau takde pkp yada2 dah vaccination rate is high take ur booster if possible and follow sop everything will be fine dh benti menggelupur,negative
91,beralih dr covid omicron fans beratnya saudara yg paranoid rehat dr gas mari naikkan levelnya pengen tau nih temen yg paham cern open diskusi yuk 6 6 6,netral
92,mengikuti webinar penanganan covid 19 varian omicron,positive
93,omicron gejala penanganannya halimiskandarnu malik haramain imansyukri taufikmadjid71 kemendespdtt yusradaridesa azzameldzikrie nursaidm nurhamz25186363,netral
94,31 januari 2022 nyokap vaksin booster pfizer kipi pegel tangan aja omicron merajalela ,negative
95,bongkar kebohongan omicron ri eks menkes siti fadilah vaksin booster ,negative
96,cakupan vaksinasi lansia mencapai 74 38 persen ,positive
97,mengikuti arahan menteri webinar penanganan covid 19 varian omicron omicron gejala penanganannya ,positive
98,omicron lanyalla pemerintah ambil langkah konkret via radiomercury96,positive
99, indahutamich huhu iya makasih ndah jaga kesehatan ya omicron jahat bgt huhu ,positive
100,gubernur jawa ganjarpranowo merespons dugaan delapan omicron terdeteksi kabupaten banyumas yut sahabatganjar,netral
101, ponakanneptunus keknya iya angka omicron meningkat ,negative
102,masjid jatiasih ,netral
103,keluarga kena omicron stay safe everyone ,netral
104,bangun optimisme umkm omicron menteri badan usaha milik negara bumn erick thohir mengajak pelaku usaha mikro menengah umkm semangat amp optimistis denganetmerdekaberdaulat,positive
105,update aktif covid 19 3 februari 2022 tembus 27 ribu rekor tertinggi omicron indonesia,netral
106, boilersupplier musniumar omicron kafir mentarget ramadhan biar umat islam dipersulit ibadah ,negative
107,basketan orang ga dikenal gas giliran soljum takut kena omicron astagfirullaaaaaahhhhh,negative
108,pjlp prov dki blm gaji aniesbaswedan keputusan tidaknya blm kabar omicron mengancam jokowi ad kemajuan perfect ,netral
109,penciumanku pulih omicron udah aja,positive
110,kabar menyenangkan dunia hiburan siti badriah hamil 7 dinyatakan terpapar covid 19 varian omicron lihat kondisinya ,positive
111,nak mengundi omicron lut,positive
112,cegah penyebaran omicron ditlantas polda sulsel gencarkan olahraga,positive
113,omicron melonjak perhimpunan guru desak anies hentikan ptm sebulan penuh,negative
114,jujur bgt takut mo depok omicron fase gini,negative
115,krn kondisi omicron bertambah ni kasusnya salah strategi ptfi program sim keliling area tambang ni sgt membantu karyawan ya gaes,positive
116,bekas penjajah indonesia belanda menghimbau warganya perjalanan negeri negara omicron berbahaya kelompok usia memiliki penyakit bawaan komorbid ,netral
117, musniumar gini mus positif covid cepat langsung swab antigen hitungan menit pcr hitungan jam bicara varian omicron butuh pemeriksaan yg namanya whole genome sequencing nggak lab,netral
118,omicron ga bahaya yg bahaya omluhut ehhhh somasi ga ni ,positive
119,omicron indonesia kian meningkat data kemenkes 3 2 2022 3 161 menular terinfeksi omicron ,negative
120,covid 19 jepang meroket wilayah jepang pembatasan covid 19 berupaya menekan penularan omicron mengganas kalangan masyarakat covid19 jepang,positive
121,mestinya teriak pembohoooooooooooong mantan menkes dr siti fadilah supari bill gates aja bu siti fadilah supari bilang omicron ga bahaya jd ga lebaaaay sampe mo tutup masjid utk shalat jum at ,negative
122, rinichan02 aniesbaswedan musniumar dprddki kpk ri positif omicron semoga nda parah,positive
123, anjasmara ferry nikmati aja musniumar terima bansos lantas sok sok an tebar hoax jembatan rubuh corona omicron nyata lho mus mematikan ,negative
124,kenaikan kes dijangka terutamanya disebabkan gelombang omicron cuti perayaan januari februari kesan buruk covid 19 kekal rendah terkawal proses arah pembukaan sektor amp aktiviti ekonomi sosial berjalan lancar ,netral
125,omicron dikenal varian covid 19 menular cepat dibandingkan panduan positif omicron panik ,negative
